상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 어센틱 윈터 에코퍼 야상패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61314&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm57W19C,"(마지막 3차 물량 입고♥) 겨울내내 포근하게,패딩에 밍크를 더한 한겨울 롱패딩5가지 연출가능한 머플러까지 드리는찬스!(2color)",,115000,57500,50,36,"rgb(107, 96, 80);, rgb(18, 18, 18);",점퍼
모던 가오리 덕다운 패딩 조끼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61258&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bml%2BW19D,"누구나 좋아하는 가오리핏의 패딩조끼
덕다운100% 가볍고 멋스럽게 다양하게
(3color)",,,52000,,14,"rgb(0, 0, 0);, rgb(240, 240, 240);, rgb(127, 161, 212);",점퍼
마르 배색 덕다운 롱 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61250&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aWl3UlQ%3D,"명품 버리st.한겨울에도 든든한 이중 클로징
은은한 광택감에 고급스런 디테일!
(L,XL)",,185000,79000,57,11,"rgb(0, 0, 0);",점퍼
사선 퀼팅 덕다운 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61189&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aWd3UlU%3D,"화이트 덕다운 90% 최고급 충전재!
무게감 1도 없는 깃털보다 가벼운 느낌~
(2color)",,138000,65000,53,9,"rgb(0, 0, 0);, rgb(117, 90, 79);",점퍼
클로드 다운 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61183&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=Zmp3UQ%3D%3D,"덕다운90% 안입은듯한 착용감 최고!!
넥라인&밑단의 디테일이 예사롭지 않은 디자인!
(2color)",,54000,34500,36,31,"rgb(0, 0, 0);, rgb(137, 111, 86);",점퍼
덤블 다이아 무스탕 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59529&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bWV8,"보들한 덤블소재에 다이아패턴으로 세련된
무스탕 안감으로 포근하게 폭 감싸주어요
(2color)",,,75800,,14,"rgb(235, 227, 213);, rgb(77, 77, 77);",점퍼
밍크 카라 레더 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59527&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmx5W14%3D,"흔하지 않은 고급진 매력의 레더 패딩
탈부착되는 리얼밍크카라로 포인트 되어요
(M,L / 2color)",,247000,172900,30,2,"rgb(158, 150, 144);, rgb(0, 0, 0);",점퍼
로벨라 다이아 퀼팅 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59278&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=amZ3Ug%3D%3D,"아방하게 빵빵한 충전재로 귀여운 무드
5온스 솜으로 엄청 가볍고 따뜻!
(3color)",,,56000,,3,"rgb(180, 207, 225);, rgb(188, 178, 164);, rgb(0, 0, 0);",점퍼
모니안 벌룬 니트 짚업,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57958&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=b2V5,"롱한 길이감으로 부담없이 누구나!
부드럽고 탄탄한 니팅으로 편안하게
(2color)",,,39800,,292,"rgb(99, 98, 99);, rgb(0, 0, 0);",점퍼
C로고 니트 봄버,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61063&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=am53VA%3D%3D,"트렌디하게 영한 매력의 봄버 디자인,
폭폭하게 포근한 터치감으로 보온성까지 톡톡히!
(2color)",,,,,35,"rgb(0, 0, 0);, rgb(237, 237, 232);",점퍼
