상품명,상품URL,이미지URL,가격,색상,품절여부,좋아요수,카테고리_대분류,카테고리_소분류,카테고리_전체
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 울 100 멀리 브러쉬 울 세미크롭 코트 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%9A%B8-100-%EB%A9%80%EB%A6%AC-%EB%B8%8C%EB%9F%AC%EC%89%AC-%EC%9A%B8-%EC%84%B8%EB%AF%B8%ED%81%AC%EB%A1%AD-%EC%BD%94%ED%8A%B8-%EC%9E%90%EC%BC%93-2color/4179/category/48/display/1/,https://closhoew.com/web/product/medium/202411/6bb60e8079086da2b0ec7efef27d52f8.webp,65900,"rgb(201, 201, 201), rgb(71, 71, 71)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 울100 히렛 더블버튼 핸드메이드 롱 코트 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%9A%B8100-%ED%9E%88%EB%A0%9B-%EB%8D%94%EB%B8%94%EB%B2%84%ED%8A%BC-%ED%95%B8%EB%93%9C%EB%A9%94%EC%9D%B4%EB%93%9C-%EB%A1%B1-%EC%BD%94%ED%8A%B8-2color/4175/category/48/display/1/,https://closhoew.com/web/product/medium/202411/c58194e127c6856e96974e73a6aeab6c.webp,77900,"rgb(254, 255, 239), rgb(169, 169, 169)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 브리또 탈부착 니트 후드 양털 무스탕 점퍼 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%B8%8C%EB%A6%AC%EB%98%90-%ED%83%88%EB%B6%80%EC%B0%A9-%EB%8B%88%ED%8A%B8-%ED%9B%84%EB%93%9C-%EC%96%91%ED%84%B8-%EB%AC%B4%EC%8A%A4%ED%83%95-%EC%A0%90%ED%8D%BC-%EC%9E%90%EC%BC%93-2color/4168/category/48/display/1/,https://closhoew.com/web/product/medium/202411/3890b28cd3477929d662e06e33cd16ff.webp,54900,"rgb(254, 255, 239), rgb(80, 23, 4)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 페이보릿 노카라 울 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%8E%98%EC%9D%B4%EB%B3%B4%EB%A6%BF-%EB%85%B8%EC%B9%B4%EB%9D%BC-%EC%9A%B8-%EC%9E%90%EC%BC%93-2color/4156/category/48/display/1/,https://closhoew.com/web/product/medium/202411/22b3bfa0ba250b37156ab864c96d153f.jpg,45900,"rgb(132, 94, 34), rgb(0, 0, 130)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 제니퍼 배색 떡볶이 무스탕 반 코트 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%A0%9C%EB%8B%88%ED%8D%BC-%EB%B0%B0%EC%83%89-%EB%96%A1%EB%B3%B6%EC%9D%B4-%EB%AC%B4%EC%8A%A4%ED%83%95-%EB%B0%98-%EC%BD%94%ED%8A%B8-3color/4150/category/48/display/1/,https://closhoew.com/web/product/medium/202411/34935fead9e931c03f2a674bd8f645d8.webp,45900,"rgb(86, 117, 76), rgb(215, 177, 112), rgb(80, 23, 4)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 패셔너블 양털 오버핏 무스탕 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%8C%A8%EC%85%94%EB%84%88%EB%B8%94-%EC%96%91%ED%84%B8-%EC%98%A4%EB%B2%84%ED%95%8F-%EB%AC%B4%EC%8A%A4%ED%83%95-2color/4147/category/48/display/1/,https://closhoew.com/web/product/medium/202411/14b1435251d531a6ab931d3711e1cf72.webp,65900,"rgb(80, 23, 4), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 로스팅 페이크 퍼 베스트 4color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A1%9C%EC%8A%A4%ED%8C%85-%ED%8E%98%EC%9D%B4%ED%81%AC-%ED%8D%BC-%EB%B2%A0%EC%8A%A4%ED%8A%B8-4color/4137/category/48/display/1/,https://closhoew.com/web/product/medium/202411/3126611c4a0806f7132b74c304227f1d.webp,28900,"rgb(254, 255, 239), rgb(86, 117, 76), rgb(169, 169, 169), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무배 단독진행] 울100 칼로즈 핸드메이드 벨트 롱 코트 2color,https://closhoew.com/product/%EB%AC%B4%EB%B0%B0-%EB%8B%A8%EB%8F%85%EC%A7%84%ED%96%89-%EC%9A%B8100-%EC%B9%BC%EB%A1%9C%EC%A6%88-%ED%95%B8%EB%93%9C%EB%A9%94%EC%9D%B4%EB%93%9C-%EB%B2%A8%ED%8A%B8-%EB%A1%B1-%EC%BD%94%ED%8A%B8-2color/4116/category/48/display/1/,https://closhoew.com/web/product/medium/202411/c916e1aac9e6819fea5373d1c0e4e5a1.webp,79900,"rgb(254, 255, 239), rgb(71, 71, 71)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무배 단독진행] 울100 뮤즈 클래식 핸드메이드 하프 더블 코트 3color,https://closhoew.com/product/%EB%AC%B4%EB%B0%B0-%EB%8B%A8%EB%8F%85%EC%A7%84%ED%96%89-%EC%9A%B8100-%EB%AE%A4%EC%A6%88-%ED%81%B4%EB%9E%98%EC%8B%9D-%ED%95%B8%EB%93%9C%EB%A9%94%EC%9D%B4%EB%93%9C-%ED%95%98%ED%94%84-%EB%8D%94%EB%B8%94-%EC%BD%94%ED%8A%B8-3color/4115/category/48/display/1/,https://closhoew.com/web/product/medium/202411/b6ba4bc9ff6d99a9ab4599d25b842401.webp,89000,"rgb(254, 255, 239), rgb(215, 177, 112), rgb(71, 71, 71)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 언터 스웨이드 양털 오버핏 무스탕 자켓,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%96%B8%ED%84%B0-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%96%91%ED%84%B8-%EC%98%A4%EB%B2%84%ED%95%8F-%EB%AC%B4%EC%8A%A4%ED%83%95-%EC%9E%90%EC%BC%93/4111/category/48/display/1/,https://closhoew.com/web/product/medium/202411/3211fe554d6e0c6b8cc9d465f805252c.jpg,56900,"rgb(80, 23, 4)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 모아 루즈핏 카라 울 자켓 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%AA%A8%EC%95%84-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%B9%B4%EB%9D%BC-%EC%9A%B8-%EC%9E%90%EC%BC%93-3color/4107/category/48/display/1/,https://closhoew.com/web/product/medium/202411/f790eb8b351316123983b0be1c26bf19.webp,46900,"rgb(215, 177, 112), rgb(71, 71, 71)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
