상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
[1+1]베리온 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=494950&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2d3Ulo%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070016212.gif?1608191912,20000,18000,10,178,,0,TOP,무지티,TOP > 무지티
모어스킨 텐셀 스판 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512529&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bG13Uls%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037912.gif?1743754077,,29800,,0,"아이보리,크림, 핑크, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
밀티 미니 자수 스트라이프 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512422&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp0W19M,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037812.gif?1742467252,,29800,,3,"핑크, 소라, 네이비, 그레이",0,TOP,무지티,TOP > 무지티
[made]컬러웨어 코튼 반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510482&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=am13UlU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036582.gif?1736926701,,19800,,28,"화이트, 핑크, 연두, 블루, 블랙",0,TOP,무지티,TOP > 무지티
[made]인스탠딩 워싱 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509976&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmt%2BW1hE,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036172.gif?1709607774,37800,19800,48,15,"아이보리,크림, 카키, 블랙",0,TOP,무지티,TOP > 무지티
벨로 코튼워싱 브이넥 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509947&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bWd3VV0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036152.jpg?1709099352,,14800,,39,"화이트, 베이지, 챠콜",0,TOP,무지티,TOP > 무지티
로하트 퍼프소매 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509854&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aGx3VV4%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036102.gif?1708331317,,19800,,11,"아이보리,크림, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
[1+1]코튼브리즈 무지반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507312&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Zmd3VV8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037492.gif?1730359272,39600,35700,10,57,,0,TOP,무지티,TOP > 무지티
[1+1]유즈미 라운드긴팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=505123&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm10W1hA,하나사면 하나 더!,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034052.gif?1661400074,,19000,,62,"아이보리,크림, 베이지, 블루, 브라운, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
프리실켓 캡티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504535&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aG53VVk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033762.gif?1690247754,,19800,,140,"아이보리,크림, 오렌지, 브라운, 챠콜, 블랙",0,TOP,무지티,TOP > 무지티
[당일발송][시그니처](남여공용)코튼브리즈 무지반팔티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=502260&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm5%2BW1hC,"[남녀공용]FREE,L",//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070032632.gif?1689552204,,19800,,49,"화이트, 연그레이, 그레이, 베이지, 그린, 네이비, 챠콜, 블랙",0,TOP,무지티,TOP > 무지티
더블쉬폰 날개소매티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=501400&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=a2V5Vg%3D%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070032012.gif?1654244304,,31800,,8,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
미니멀 빈티지 컷오프 코튼 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512575&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bWl3VVQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037962.gif?1744778003,,29800,,0,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
[made]네추럴스판 긴팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511499&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml5W1hN,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037092.gif?1728552808,,19800,,12,"아이보리,크림, 베이지, 브라운, 네이비, 레드, 블랙",0,TOP,무지티,TOP > 무지티
[2종택1]데일리웨어 하프넥 레이온 코튼 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=511324&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=amx3VFw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036992.gif?1725359628,,19800,,25,"화이트, 연베이지, 브라운, 와인, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
