상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리_대분류,카테고리_소분류,카테고리_전체
,https://baddiary.com/product/ss-%EB%AA%A8%EB%8D%98%EC%A6%88-h-%EC%8A%A4%EC%BB%A4%ED%8A%B8%EB%AF%B8%EB%8B%88%EB%AF%B8%EB%94%94%EB%A1%B1sl/23833/category/36/display/1/,,https://baddiary.com/web/product/tiny/202308/ba65161aee537fe772d598cfcae717b1.webp,,,,0,"rgb(0, 0, 0);, rgb(169, 182, 217);, rgb(237, 172, 154);, rgb(255, 255, 255);, rgb(255, 105, 180);",BEST,,BEST
,https://baddiary.com/product/%EB%B4%84%EA%B0%80%EC%9D%84%ED%95%84%EC%88%98%ED%85%9C-%EB%8D%94%EB%B8%94-%EC%88%8F-%ED%8A%B8%EB%A0%8C%EC%B9%98/18692/category/36/display/1/,,https://baddiary.com/web/product/tiny/202502/467bc584b83e39fa5ec5cdc66c705313.webp,,,,0,"rgb(247, 245, 234);, rgb(224, 218, 191);, rgb(112, 104, 90);, rgb(7, 12, 31);, rgb(42, 44, 46);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/11-%EA%B8%B0%ED%9A%8D-10-%ED%82%A4%EC%B9%98-%EB%9D%BC%EC%9A%B4%EB%93%9C-5%EB%B6%80-%EB%8B%88%ED%8A%B8/25839/category/36/display/1/,,https://baddiary.com/web/product/tiny/202403/461f123343535d21f5d96b6b2f188779.webp,,,,0,,BEST,,BEST
,https://baddiary.com/product/made-%EB%B9%84%EB%B9%84%EC%95%88-%EB%82%98%EC%8B%9C-%EC%9B%90%ED%94%BC%EC%8A%A4sl/26041/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/f567009a26fc8ffc6b557d1a6687935a.webp,,,,0,"rgb(0, 0, 0);, rgb(237, 222, 197);",BEST,,BEST
,https://baddiary.com/product/%EC%83%B9%EB%8B%AC-%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%88%8F-%EC%9E%90%EC%BC%93%EC%8A%A4%EC%BB%A4%ED%8A%B8-%EC%84%B8%ED%8A%B8/28166/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/88bf8619d8d858995599655176f07c29.webp,,,,0,"rgb(0, 0, 0);, rgb(254, 255, 239);, rgb(254, 192, 203);",BEST,,BEST
,https://baddiary.com/product/made-5-%EC%99%80%EC%9D%B4%EB%93%9C-%EC%BF%A8%EC%83%B7-%EB%A0%88%EA%B9%85-%EB%A7%A4%EC%A7%81%ED%8C%AC%EC%B8%A0%EA%B8%B0%EB%B3%B8%EB%A1%B1-sl/21867/category/36/display/1/,,https://baddiary.com/web/product/tiny/202308/a291990dabc39a05c07e4f58f9f74da8.webp,,,,0,"rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/made-new-%EC%98%A4%EB%A5%BC%EB%A6%AC-%EB%B2%84%ED%8A%BC-%EC%9B%90%ED%94%BC%EC%8A%A4sl%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/28096/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/86472aaab699d343b747851b4202ccc5.webp,,,,0,"rgb(226, 204, 165);, rgb(0, 0, 0);",BEST,,BEST
마들렌 플라워 레이스 원피스,https://baddiary.com/product/%EB%A7%88%EB%93%A4%EB%A0%8C-%ED%94%8C%EB%9D%BC%EC%9B%8C-%EB%A0%88%EC%9D%B4%EC%8A%A4-%EC%9B%90%ED%94%BC%EC%8A%A4/28220/category/72/display/1/,,https://baddiary.com/web/product/tiny/202504/d1989674733096988339ce6fa8b4aad5.webp,,,5,0,"rgb(28, 35, 61);, rgb(235, 195, 195);",NEW 5%,,NEW 5%
패턴 뒷리본 블라우스,https://baddiary.com/product/%ED%8C%A8%ED%84%B4-%EB%92%B7%EB%A6%AC%EB%B3%B8-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/28219/category/72/display/1/,,https://baddiary.com/web/product/tiny/202504/e0916eb76f2d36c7572f5fe28729ec27.webp,,,5,0,"rgb(182, 194, 222);, rgb(237, 189, 182);",NEW 5%,,NEW 5%
스트라이프 카라 버튼 니트,https://baddiary.com/product/%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84-%EC%B9%B4%EB%9D%BC-%EB%B2%84%ED%8A%BC-%EB%8B%88%ED%8A%B8/28217/category/72/display/1/,,https://baddiary.com/web/product/tiny/202504/89c03df7381a74fde62c12c49867b211.webp,,,5,0,"rgb(169, 169, 169);, rgb(0, 0, 0);, rgb(254, 255, 239);",NEW 5%,,NEW 5%
(찰랑) 젠틀 핀턱 와이드 슬랙스(S~L),https://baddiary.com/product/%EC%B0%B0%EB%9E%91-%EC%A0%A0%ED%8B%80-%ED%95%80%ED%84%B1-%EC%99%80%EC%9D%B4%EB%93%9C-%EC%8A%AC%EB%9E%99%EC%8A%A4sl/28218/category/72/display/1/,,https://baddiary.com/web/product/tiny/202504/f4fd52f40f1e23a7c6216f8e907ebb09.webp,,,5,0,"rgb(0, 0, 0);, rgb(242, 226, 175);",NEW 5%,,NEW 5%
마린 배색 세라 원피스,https://baddiary.com/product/%EB%A7%88%EB%A6%B0-%EB%B0%B0%EC%83%89-%EC%84%B8%EB%9D%BC-%EC%9B%90%ED%94%BC%EC%8A%A4/26578/category/72/display/1/,,https://baddiary.com/web/product/tiny/202407/5a0dafa7b551a9427c26b05b876bf0aa.webp,,,5,0,"rgb(254, 255, 239);, rgb(22, 14, 66);",NEW 5%,,NEW 5%
[여행룩/휴양지룩] 핀턱 지지미 체크 원피스,https://baddiary.com/product/%EC%97%AC%ED%96%89%EB%A3%A9%ED%9C%B4%EC%96%91%EC%A7%80%EB%A3%A9-%ED%95%80%ED%84%B1-%EC%A7%80%EC%A7%80%EB%AF%B8-%EC%B2%B4%ED%81%AC-%EC%9B%90%ED%94%BC%EC%8A%A4/26112/category/72/display/1/,,https://baddiary.com/web/product/tiny/202404/861b9bc021e878b01cdd2e6e42c694f1.webp,,,5,34,"rgb(0, 0, 0);, rgb(194, 15, 10);",NEW 5%,,NEW 5%
